tags|user_id|user_username|user_screen_name|user_profile_image_url|videolow|videostd|imagelow|imagestd|link|created_at|text|caption_id|type|id|likes_count
@380142891
cambiatufoto!!lanina|380142891|wilchess26|http://photos-d.ak.instagram.com/hphotos-ak-xfa1/10661075_283079658565107_1457103577_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10684347_700602966689786_1742180775_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10684347_700602966689786_1742180775_n.jpg|http://instagram.com/p/tqYeETLTCd/|2014-10-02 19:41:41|#cambiaTuFoto #LaNina :)|822577501676843468|image|822577501265801373_380142891|1
apartirdeahorasoyhipster!!meparecioverungatovolador!!cali|380142891|wilchess26|http://photos-d.ak.instagram.com/hphotos-ak-xfa1/10661075_283079658565107_1457103577_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/891507_1463346750621042_76241728_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/891507_1463346750621042_76241728_n.jpg|http://instagram.com/p/tCQDdlLTNC/|2014-09-17 05:38:31|#aPartirDeAhoraSoyHipster #meParecioVerUnGatoVolador #Cali :')|811281489981158383|image|811281489544950594_380142891|4
#imposibleNoExisteNiLoHaraBlaBla
#FinaEstampa
finaestampa!!modas!!acessorios|1504637547|modas_finaestampa|http://photos-f.ak.instagram.com/hphotos-ak-xaf1/10802704_599415530184309_1751333536_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10755756_927407477288163_839791186_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10755756_927407477288163_839791186_n.jpg|http://instagram.com/p/vOoZjVJ9FW/|2014-11-10 18:04:56|Pecas Exclusivas !! #FinaEstampa #Modas #Acessorios|850795058149445975|image|850795057402859862_1504637547|1
finaestampa!!summer!!luxos|496345685|finaestampamoda|http://photos-h.ak.instagram.com/hphotos-ak-xfa1/10747823_294437650748375_980368355_a.jpg|Null|Null|http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10802993_375603079271549_980865316_a.jpg|http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10802993_375603079271549_980865316_n.jpg|http://instagram.com/p/vOhS_sirmJ/|2014-11-10 17:02:52|Nesse calor nada melhor que um "lindo" shorts saia nao e meninas??? garanta ja o de voces gatas.  #finaestampa#luxos#summer|850763821278214538|image|850763820498073993_496345685|4
modelosnegros!!helderdias!!estampa!!barbies!!nyfw!!top!!glamour!!spmeuolhar!!saopaulocultural!!paginafashion!!belasnegras!!nahdasotop!!finaestampa!!b!!fashionrunway!!hdamodels!!moda!!glamourama!!luxo!!exposicaocontrafluxo!!ny!!hellderdias!!nyc!!mube!!saopaulofashion|258266925|hellderdias|http://images.ak.instagram.com/profiles/profile_258266925_75sq_1381599952.jpg|Null|Null|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10665439_761190827289364_287961832_a.jpg|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10665439_761190827289364_287961832_n.jpg|http://instagram.com/p/vGvwMOnhgs/|2014-11-07 16:35:16|Priscila Sena e Mayoro Diones/@hdamodels|848575600126728237|image|848575599656966188_258266925|4
modelosnegros!!helderdias!!estampa!!barbies!!saopaulocultural!!top!!glamour!!spmeuolhar!!paginafashion!!belasnegras!!nahdasotop!!b!!fashionrunway!!hdamodels!!glamourama!!luxo!!finaestampa!!moda!!hellderdias!!mube!!saopaulofashion|258266925|hellderdias|http://images.ak.instagram.com/profiles/profile_258266925_75sq_1381599952.jpg|Null|Null|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10731622_324517004400386_1288664430_a.jpg|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10731622_324517004400386_1288664430_n.jpg|http://instagram.com/p/vHpfQPnhtK/|2014-11-08 00:59:46|Ela vem e por onde passa deixa a sua marca de muito charme e talento Gerlen Moura/@hdamodels arrasou no desfile da grife @jujabouroficial e brilhou na @spfw|848829522879847243|image|848829522435251018_258266925|4
finaestampa!!casamento!!manuella!!violino|1362561242|analaura.nascimento.5|http://photos-b.ak.instagram.com/hphotos-ak-xpf1/10358287_1489033617993953_188290025_a.jpg|Null|Null|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10785136_301794276676765_1767193939_a.jpg|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10785136_301794276676765_1767193939_n.jpg|http://instagram.com/p/vJ08mZk20P/|2014-11-08 21:18:22|Porque depois do enem ainda da pra tocar num casamento. Que os noivos sejam super felizes!! #casamento #Manuella&Andre #violino  #finaestampa|849442868032662800|image|849442867554512143_1362561242|4
finaestampa!!penteado!!hairdresser!!garopaba!!casamento!!annerose!!hair!!semipreso!!cabeleireira|1414069430|annerose.arte|http://photos-c.ak.instagram.com/hphotos-ak-xfp1/10413937_698317133572186_488958549_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10787807_1536888956553030_186253974_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10787807_1536888956553030_186253974_n.jpg|http://instagram.com/p/vJsN0WRTyE/|2014-11-08 20:02:04|#penteado #semipreso #hair  #casamento #cabeleireira #hairdresser #FinaEstampa #AnneRose #Garopaba|849404468998257797|image|849404468343946372_1414069430|4
