tags|user_id|user_username|user_screen_name|user_profile_image_url|videolow|videostd|imagelow|imagestd|link|created_at|text|caption_id|type|id|likes_count
@380142891
cambiatufoto!!lanina|380142891|wilchess26|http://photos-d.ak.instagram.com/hphotos-ak-xfa1/10661075_283079658565107_1457103577_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10684347_700602966689786_1742180775_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10684347_700602966689786_1742180775_n.jpg|http://instagram.com/p/tqYeETLTCd/|2014-10-02 19:41:41|#cambiaTuFoto #LaNina :)|822577501676843468|image|822577501265801373_380142891|1
apartirdeahorasoyhipster!!meparecioverungatovolador!!cali|380142891|wilchess26|http://photos-d.ak.instagram.com/hphotos-ak-xfa1/10661075_283079658565107_1457103577_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/891507_1463346750621042_76241728_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/891507_1463346750621042_76241728_n.jpg|http://instagram.com/p/tCQDdlLTNC/|2014-09-17 05:38:31|#aPartirDeAhoraSoyHipster #meParecioVerUnGatoVolador #Cali :')|811281489981158383|image|811281489544950594_380142891|4
#imposibleNoExisteNiLoHaraBlaBla
#FinaEstampa
santaceia!!finaestampa!!camerafotografica|288852891|_lannyribeiro|http://images.ak.instagram.com/profiles/profile_288852891_75sq_1395330865.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10691799_760648250642962_1824322593_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10691799_760648250642962_1824322593_n.jpg|http://instagram.com/p/tyRfADrTHa/|2014-10-05 21:14:34|Indo ao encontro dou papai dou ceu culto #SantaCeia adora ao rei dos reis  Eu uso #FinaEstampa  Cordao novo pingente #CameraFotografica|824798579396522457|image|824798578918371802_288852891|3
finaestampa!!jesusmanuelduran|29799071|mgael|http://images.ak.instagram.com/profiles/profile_29799071_75sq_1387131222.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10693532_578763485562726_1881879552_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10693532_578763485562726_1881879552_n.jpg|http://instagram.com/p/tyOcepv6OQ/|2014-10-05 20:48:00|Cumpleanos de #jesusmanuelduran celebrando su vida #finaestampa|824785211806950343|image|824785211471405968_29799071|1
piscosour!!feliz!!enamorado!!finaestampa|481012502|weirdboy89|http://photos-e.ak.instagram.com/hphotos-ak-xaf1/10616937_526669160812812_517091388_a.jpg|Null|Null|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/914778_351111385048738_1506639545_a.jpg|http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/914778_351111385048738_1506639545_n.jpg|http://instagram.com/p/twQcivJx-B/|2014-10-05 02:27:01|#PiscoSour #Feliz #Enamorado #FinaEstampa|824231062491569180|image|824231061996642177_481012502|3
finaestampa!!comidaperuana!!sabado!!concep|326639748|allywetzigm|http://images.ak.instagram.com/profiles/profile_326639748_75sq_1398026381.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10707164_1472326623056206_2071892695_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10707164_1472326623056206_2071892695_n.jpg|http://instagram.com/p/tv6ZVnyjQx/|2014-10-04 23:14:20|Almorzando con mama y papa #concep #comidaperuana #finaestampa #sabado|824134085135447450|image|824134084732793905_326639748|4
finaestampa!!hairstyle!!hairdresser!!garopaba!!penteado!!hair!!coque!!tranca!!cabeleireira|1414069430|annerose.arte|http://photos-c.ak.instagram.com/hphotos-ak-xfp1/10413937_698317133572186_488958549_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/1390156_765920033454582_1888871197_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/1390156_765920033454582_1888871197_n.jpg|http://instagram.com/p/tva85sRT_2/|2014-10-04 18:39:34|O penteado estilo "podrinho" e o meu preferido! Sempre com um ar mais despojado, e muito versatil.Nesse caso, o coque trancado e sucesso para noivas,formandas,debutantes, madrinhas...Uma dica pra somar, e um bom acessorio! #hairdresser #hair #hairstyle #penteado #tranca #coque #cabeleireira #FinaEstampa #Garopaba|823995791986474639|image|823995791156002806_1414069430|4
finaestampa!!sabado!!look|1446452564|michele.candido.54|http://photos-d.ak.instagram.com/hphotos-ak-xaf1/10560996_491929414284843_30703604_a.jpg|Null|Null|http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/928023_1494236300860290_888559370_a.jpg|http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/928023_1494236300860290_888559370_n.jpg|http://instagram.com/p/tu-44kqBdg/|2014-10-04 14:34:21|#look #sabado #finaestampa|823872370260841500|image|823872369774303072_1446452564|4
